year,Comedy,Romance,Horror,Drama,Crime,Adventure,Family / Animated,Action,Sport,Historical,Mystery,Sci-Fi,Fantasy
1932,2650.83,2650.83,9764.58,2924.88,4541.25,4873.33,440.33,8729.2,3824.65,1154.33,1592.22,5450,13045
1933,4039.69,4039.69,16057,1920.67,1937.64,17260.6,1624,1383.5,8542.07,3776.4,2993.75,53426.5,1236.33
1935,2798.71,2798.71,7995.75,2865.74,1850.35,3681.64,896,2874.14,6051.63,6705.14,6933.89,15768.67,2426.83
1936,8283.73,8283.73,2426.71,6549.22,3811.12,1580.64,1989.55,2179.8,2431.51,1951.27,2794.9,3168.2,2623
1938,4482.84,4482.84,1503,3214.72,3410.64,5495.7,5807.91,14905.5,2886.79,2800.64,5115.73,877,3502
1939,7499.79,7499.79,3166.89,11224.34,2549.74,23593.95,27242.36,2494.14,18182.75,22839.36,2344.75,3201.5,122968
1940,11666.87,11666.87,2232.44,10011.18,2239,2991.25,14282.94,5464.13,8513.39,7557.5,13564.2,1528.8,17544.5
1941,3022.18,3022.18,4464,12915.87,2331.32,3951.5,17683.88,3427.71,14595.04,4071.38,39059.27,3402.33,3476
1942,3854.47,3854.47,4341.5,13119.18,2228.2,2438.47,23096,2459.53,3728.79,5150.17,1749,4075.5,6226.6
1943,1881.91,1881.91,3586.77,2890.5,3893.33,2745.42,555.2,2045.88,2558.19,2793.27,2987.83,2956.33,4528.56
1944,5760.45,5760.45,2531.07,6305.91,12431.79,3491.43,2863,1336.63,3758.37,2264.57,6226.61,2334.25,2631.09
1945,2214.72,2214.72,4635.11,4645.83,3898.05,2106,397.36,2412.25,3214.92,1255.71,4813.68,2901.5,4068.67
1948,2495.09,2495.09,5490.67,9376.41,9427.15,12809.93,3550,6499.25,8875.29,2228.5,16111.6,930,3370
1949,5259.37,5259.37,2408,3557.18,4100.64,1703.17,4139.67,5905.33,7767.31,3477.83,26337.43,1518,1900.75
1951,2224.03,2224.03,6064.6,5937.12,6045.43,10712.19,12536.64,2695.43,5153.67,3257,3244,12734.8,5113.29
1952,9124.71,9124.71,1320.5,5653,2249,2608.33,1096.26,2397.57,8577.78,2331.53,2123,3593,2438.75
1953,9544.91,9544.91,4483.83,6132.69,5079.38,8495.58,9061.07,4700.58,4329.44,2851.73,2341.67,5752.25,4955.17
1954,5452.34,5452.34,8144.5,10575.33,14715.43,14012.59,2590.72,21338,11312.79,2738.94,50433.89,6428.13,3933.33
1955,8552.95,8552.95,8069.36,6428.24,9033.59,8305.5,5402.04,3030,4647.51,2696.15,20570.29,4038.15,1032.5
1956,2878.85,2878.85,6628.57,6608.09,5582.61,9685.68,1625.18,5600.57,5488.32,4497.18,1545.67,8210.07,1847.63
